X Drift, Y Drift
0.000000,0.000000
0.000000,-1.000000
0.100000,-2.000000
0.100000,-3.000000
0.000000,-4.000000
-0.200000,-5.000000
0.100000,-6.000000
0.000000,-7.100000
0.000000,-8.100000
0.000000,-9.000000
0.000000,-10.100000
0.100000,-11.100000
0.100000,-12.100000
0.200000,-13.100000
0.300000,-14.100000
0.300000,-15.100000
-10.000000,-0.300000
-10.100000,-1.400000
-9.900000,-2.400000
-10.100000,-3.400000
-10.000000,-4.500000
-9.900000,-5.500000
-9.900000,-6.500000
-9.900000,-7.500000
-10.000000,-8.600000
-10.000000,-9.600000
-9.800000,-10.600000
-9.500000,-11.700000
-9.600000,-12.700000
-9.700000,-13.700000
