X Drift, Y Drift
-0.873120,10.676032
-0.838220,9.676641
-0.703382,8.680740
-0.768421,7.677859
-0.633583,6.681959
-0.598683,5.682568
-0.563784,4.683177
-0.528884,3.683786
-0.493985,2.684395
-0.459085,1.685005
-0.524125,0.682124
-0.389286,-0.313777
-0.354387,-1.313168
-0.319488,-2.312559
-0.284588,-3.311950
-10.801988,11.329919
-10.670640,10.433956
-10.732189,9.331137
-10.697289,8.331746
-10.662390,7.332355
-10.627491,6.332964
-10.592591,5.333573
-10.557692,4.334182
-10.422854,3.338282
-10.487893,2.335401
-10.452993,1.336010
-10.418094,0.336619
-10.283257,-0.659282
-10.248357,-1.658673
-10.213457,-2.658063
