x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max,Min Separation
72.603775,27.773584,0.607357,11.052056,0.999839,-0.017943,53.000000,70.000000,28.000000,2.837766,66.979805,27.874510,78.030083,27.676207,67.000000,78.000000,25.000000,30.000000,340282346638528859811704183484516925440.000000
96.407410,27.740740,0.057450,5.272865,0.552271,-0.833665,27.000000,97.000000,28.000000,2.575444,94.937965,29.958902,97.850014,25.563101,94.000000,99.000000,25.000000,30.000000,340282346638528859811704183484516925440.000000
103.703705,27.777779,0.073874,5.380003,0.943843,-0.330394,27.000000,103.000000,28.000000,2.525886,101.225838,28.645161,106.303719,26.867640,101.000000,106.000000,25.000000,30.000000,340282346638528859811704183484516925440.000000
123.222221,27.703703,0.073874,5.380003,0.330395,0.943843,27.000000,124.000000,28.000000,2.525878,122.354836,25.225842,124.132362,30.303719,121.000000,126.000000,25.000000,30.000000,340282346638528859811704183484516925440.000000
131.592590,27.740740,0.057450,5.272865,0.552271,0.833665,27.000000,131.000000,28.000000,2.575189,130.149994,25.563101,133.062042,29.958902,129.000000,134.000000,25.000000,30.000000,340282346638528859811704183484516925440.000000
150.321426,27.678572,0.014274,5.656854,0.707107,0.707107,28.000000,150.000000,28.000000,2.575681,148.321426,25.678574,152.321426,29.678572,148.000000,153.000000,25.000000,30.000000,340282346638528859811704183484516925440.000000
159.500000,27.785715,0.018308,5.000000,1.000000,0.000000,28.000000,159.000000,28.000000,2.785645,157.000000,27.785715,162.000000,27.785715,157.000000,162.000000,25.000000,30.000000,340282346638528859811704183484516925440.000000
177.321426,27.678572,0.014274,5.656854,0.707107,0.707107,28.000000,177.000000,28.000000,2.575681,175.321426,25.678574,179.321426,29.678572,175.000000,180.000000,25.000000,30.000000,340282346638528859811704183484516925440.000000
187.413788,27.724138,0.073279,5.828640,0.871640,0.490146,29.000000,187.000000,28.000000,2.676751,184.843292,26.278679,189.923767,29.135567,185.000000,190.000000,25.000000,30.000000,340282346638528859811704183484516925440.000000
17.904762,27.952381,0.445209,8.126422,0.998995,0.044821,42.000000,18.000000,28.000000,2.175751,13.920425,27.773621,22.038681,28.137852,14.000000,22.000000,26.000000,30.000000,340282346638528859811704183484516925440.000000
45.000000,28.000000,0.542956,10.000000,1.000000,0.000000,51.000000,47.000000,28.000000,2.000000,40.000000,28.000000,50.000000,28.000000,40.000000,50.000000,26.000000,30.000000,340282346638528859811704183484516925440.000000
183.352936,52.776470,0.053877,10.179237,0.255271,0.966869,85.000000,183.000000,52.000000,4.946299,182.085876,47.977329,184.684341,57.819321,179.000000,188.000000,48.000000,58.000000,340282346638528859811704183484516925440.000000
87.571426,52.673470,0.041737,7.615764,0.919742,-0.392523,49.000000,87.000000,53.000000,3.620126,84.071365,54.167213,91.075897,51.177845,84.000000,91.000000,49.000000,56.000000,340282346638528859811704183484516925440.000000
111.500000,52.714287,0.005156,7.000000,1.000000,0.000000,56.000000,112.000000,53.000000,3.714355,108.000000,52.714287,115.000000,52.714287,108.000000,115.000000,49.000000,56.000000,340282346638528859811704183484516925440.000000
135.338455,52.707691,0.028101,8.737007,0.245416,-0.969418,65.000000,135.000000,53.000000,4.378901,134.236664,57.059914,136.380859,48.590099,131.000000,139.000000,49.000000,57.000000,340282346638528859811704183484516925440.000000
159.405411,52.918919,0.062774,9.052118,0.999614,-0.027799,74.000000,159.000000,53.000000,4.124003,154.973358,53.042171,164.021988,52.790535,155.000000,164.000000,49.000000,57.000000,340282346638528859811704183484516925440.000000
15.756757,52.756756,0.034430,6.363961,0.707106,0.707107,37.000000,16.000000,53.000000,2.828429,13.500002,50.500000,18.000000,55.000000,13.000000,19.000000,50.000000,56.000000,340282346638528859811704183484516925440.000000
39.717949,52.897434,0.027826,6.608326,0.286786,0.957995,39.000000,40.000000,53.000000,3.401363,38.780613,49.766315,40.675793,56.097054,37.000000,43.000000,50.000000,56.000000,340282346638528859811704183484516925440.000000
63.577778,52.844444,0.062213,7.258153,0.979944,0.199271,45.000000,64.000000,53.000000,3.406732,59.977173,52.112263,67.089760,53.558605,60.000000,67.000000,50.000000,56.000000,340282346638528859811704183484516925440.000000
15.861111,72.611115,0.160854,6.615515,0.956154,0.292863,36.000000,16.000000,73.000000,2.830203,12.794247,71.671761,19.119701,73.609192,13.000000,19.000000,70.000000,75.000000,340282346638528859811704183484516925440.000000
48.159092,72.590912,0.310593,8.173070,0.993769,0.111459,44.000000,48.000000,73.000000,2.780025,43.986217,72.122894,52.108360,73.033852,44.000000,52.000000,70.000000,75.000000,340282346638528859811704183484516925440.000000
81.500000,72.678574,0.500574,11.000000,1.000000,0.000000,56.000000,82.000000,73.000000,2.678711,76.000000,72.678574,87.000000,72.678574,76.000000,87.000000,70.000000,75.000000,340282346638528859811704183484516925440.000000
114.272728,72.803032,0.677647,14.009064,0.999989,0.004607,66.000000,116.000000,73.000000,2.216790,106.996460,72.769508,121.005371,72.834045,107.000000,121.000000,71.000000,75.000000,340282346638528859811704183484516925440.000000
147.389618,72.714287,0.756470,17.022179,0.999971,0.007555,77.000000,148.000000,73.000000,2.333989,138.987534,72.650810,156.009216,72.779411,139.000000,156.000000,71.000000,75.000000,340282346638528859811704183484516925440.000000
180.279068,72.546509,0.817778,21.021420,0.999935,-0.011391,86.000000,184.000000,73.000000,2.359366,169.984772,72.663780,191.004837,72.424324,170.000000,191.000000,71.000000,75.000000,340282346638528859811704183484516925440.000000
181.375000,86.805557,0.515421,15.005228,0.999985,0.005451,72.000000,181.000000,87.000000,4.808596,174.001282,86.765358,189.006287,86.847160,174.000000,189.000000,82.000000,89.000000,340282346638528859811704183484516925440.000000
149.391312,87.000000,0.583882,15.000000,1.000000,0.000000,69.000000,149.000000,87.000000,4.000000,142.000000,87.000000,157.000000,87.000000,142.000000,157.000000,83.000000,89.000000,340282346638528859811704183484516925440.000000
117.402985,87.194031,0.665233,15.007408,0.999969,0.007874,67.000000,118.000000,87.000000,3.199217,109.998932,87.135735,125.005875,87.253891,110.000000,125.000000,84.000000,89.000000,340282346638528859811704183484516925440.000000
53.615383,87.369232,0.715153,15.021339,0.999938,0.011135,65.000000,54.000000,87.000000,2.384275,45.996834,87.284401,61.017242,87.451653,46.000000,61.000000,85.000000,89.000000,340282346638528859811704183484516925440.000000
85.611938,87.298508,0.701166,15.022190,0.999933,0.011600,67.000000,85.000000,87.000000,2.326175,77.997566,87.210175,93.018738,87.384430,78.000000,93.000000,85.000000,89.000000,340282346638528859811704183484516925440.000000
21.622952,87.524590,0.752192,15.019073,0.999951,0.009904,61.000000,22.000000,88.000000,1.587647,13.995552,87.449043,29.013889,87.597794,14.000000,29.000000,86.000000,89.000000,340282346638528859811704183484516925440.000000
