X Drift, Y Drift
0.100000,12.600000
0.100000,11.700000
0.100000,10.700000
0.200000,9.700000
0.000000,8.800000
0.000000,7.800000
0.100000,6.800000
0.000000,5.900000
0.000000,4.900000
0.200000,3.900000
0.000000,3.000000
0.100000,2.100000
0.100000,1.100000
0.100000,0.100000
0.100000,-0.800000
0.200000,-1.800000
-10.200000,12.900000
-10.200000,11.900000
-10.100000,11.000000
-10.200000,10.000000
-10.200000,9.100000
-10.200000,8.100000
-10.100000,7.100000
-10.200000,6.100000
-10.100000,5.100000
-10.100000,4.200000
-10.000000,3.200000
-10.000000,2.200000
-9.900000,1.200000
-9.900000,0.300000
