X Drift, Y Drift
0.741790,12.654735
0.695981,11.750462
0.645083,10.745714
0.694660,9.735876
0.447902,8.841782
0.397004,7.837034
0.446581,6.827197
0.300298,5.928013
0.249400,4.923265
0.399452,3.908338
0.152694,3.014244
0.207361,2.104881
0.156463,1.100133
0.105565,0.095385
0.059756,-0.808888
0.109333,-1.818726
-9.591845,13.480409
-9.642743,12.475661
-9.588077,11.566298
-9.739450,10.566640
-9.785258,9.662366
-9.836156,8.657618
-9.786579,7.647781
-9.937952,6.648122
-9.888375,5.638285
-9.934183,4.734011
-9.884606,3.724174
-9.935504,2.719426
-9.885928,1.709588
-9.931736,0.805315
