X Drift, Y Drift
0.317562,13.438628
0.286380,12.435978
0.255199,11.433329
0.224018,10.430678
0.192837,9.428028
0.161656,8.425378
0.130475,7.422729
0.199559,6.416960
0.071231,5.517693
0.036932,4.414778
0.008869,3.512393
-0.022312,2.509743
0.046772,1.503975
-0.081556,0.604708
-0.112737,-0.397942
-0.297677,0.109619
-0.325740,-0.792766
-9.737001,12.848054
-0.488367,-2.794948
-0.422401,-3.900981
-0.553847,-4.900513
-9.764580,8.734070
-0.616210,-6.905813
-0.547126,-7.911581
-0.578307,-8.914230
-0.709753,-9.913763
-0.740934,-10.916412
-0.775233,-12.019328
-0.703031,-12.924830
-0.834477,-13.924363
