x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max,Min Separation
18.160715,30.571428,0.432163,10.097867,0.998369,0.057088,56.000000,19.000000,31.000000,2.729370,12.984251,30.275433,23.065649,30.851898,13.000000,23.000000,28.000000,33.000000,340282346638528859811704183484516925440.000000
45.500000,30.500000,0.498983,11.000000,1.000000,0.000000,68.000000,48.000000,30.000000,2.500000,40.000000,30.500000,51.000000,30.500000,40.000000,51.000000,28.000000,33.000000,340282346638528859811704183484516925440.000000
73.000000,30.500000,0.581923,12.000000,1.000000,0.000000,68.000000,70.000000,31.000000,2.500000,67.000000,30.500000,79.000000,30.500000,67.000000,79.000000,28.000000,33.000000,340282346638528859811704183484516925440.000000
100.521736,30.536232,0.624785,13.010783,0.999993,0.003623,69.000000,97.000000,31.000000,2.555911,93.994522,30.512585,107.005219,30.559721,94.000000,107.000000,28.000000,33.000000,340282346638528859811704183484516925440.000000
82.000000,75.500000,0.510769,12.000000,1.000000,0.000000,66.000000,82.000000,76.000000,2.500000,76.000000,75.500000,88.000000,75.500000,76.000000,88.000000,73.000000,78.000000,340282346638528859811704183484516925440.000000
114.730339,75.483147,0.620759,15.023842,0.999967,0.008112,89.000000,115.000000,75.000000,2.563470,106.988480,75.420341,122.011826,75.542213,107.000000,122.000000,73.000000,78.000000,340282346638528859811704183484516925440.000000
147.660721,75.491074,0.697590,19.033852,0.999931,-0.011718,112.000000,151.000000,75.000000,2.594746,137.983643,75.604477,157.016190,75.381439,138.000000,157.000000,73.000000,78.000000,340282346638528859811704183484516925440.000000
180.702286,75.404579,0.757350,23.014299,0.999972,-0.007470,131.000000,175.000000,75.000000,2.665046,168.996201,75.492027,192.009857,75.320107,169.000000,192.000000,73.000000,78.000000,340282346638528859811704183484516925440.000000
22.180000,90.500000,0.659218,17.000000,1.000000,0.000000,100.000000,22.000000,90.000000,2.500000,14.000000,90.500000,31.000000,90.500000,14.000000,31.000000,88.000000,93.000000,340282346638528859811704183484516925440.000000
53.956043,90.307693,0.674285,16.016758,0.999984,-0.005672,91.000000,54.000000,90.000000,2.726560,45.990658,90.352875,62.007156,90.262024,46.000000,62.000000,88.000000,93.000000,340282346638528859811704183484516925440.000000
