x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max
167.500000,15.500000,0.000000,1.000000,1.000000,0.000000,4.000000,168.000000,15.000000,0.500000,167.000000,15.500000,168.000000,15.500000,167.000000,168.000000,15.000000,16.000000
18.160715,30.571428,0.432163,10.097867,0.998369,0.057088,56.000000,19.000000,31.000000,2.729370,12.984251,30.275433,23.065649,30.851898,13.000000,23.000000,28.000000,33.000000
45.500000,30.500000,0.498983,11.000000,1.000000,0.000000,68.000000,48.000000,30.000000,2.500000,40.000000,30.500000,51.000000,30.500000,40.000000,51.000000,28.000000,33.000000
73.000000,30.500000,0.581923,12.000000,1.000000,0.000000,68.000000,70.000000,31.000000,2.500000,67.000000,30.500000,79.000000,30.500000,67.000000,79.000000,28.000000,33.000000
100.521736,30.536232,0.624785,13.010783,0.999993,0.003623,69.000000,97.000000,31.000000,2.555911,93.994522,30.512585,107.005219,30.559721,94.000000,107.000000,28.000000,33.000000
123.484848,30.606060,0.068109,6.222538,0.141420,-0.989950,33.000000,124.000000,31.000000,2.687011,123.000000,34.000000,123.879997,27.840000,121.000000,126.000000,28.000000,34.000000
132.085709,30.542856,0.081406,6.318559,0.961551,0.274627,35.000000,132.000000,31.000000,2.970711,129.089371,29.687077,135.164993,31.422325,129.000000,135.000000,28.000000,33.000000
150.500000,30.833334,0.092802,5.000000,1.000000,0.000000,36.000000,151.000000,31.000000,3.166992,148.000000,30.833334,153.000000,30.833334,148.000000,153.000000,28.000000,34.000000
159.891891,30.729731,0.071191,6.690851,0.510350,-0.859967,37.000000,160.000000,31.000000,3.020028,158.224319,33.539673,161.638992,27.785763,157.000000,163.000000,28.000000,34.000000
177.567566,30.756756,0.110916,6.598610,0.278892,-0.960323,37.000000,178.000000,31.000000,2.961429,176.654800,33.899750,178.495087,27.562954,175.000000,180.000000,28.000000,34.000000
