X Drift, Y Drift
0.480216,13.921021
0.431268,12.920213
0.482400,11.914510
0.333372,10.918597
0.284424,9.917789
0.235476,8.916981
0.186528,7.916173
0.137580,6.915365
0.088632,5.914557
0.039684,4.913749
-0.009264,3.912941
-0.058212,2.912133
-0.107160,1.911325
-0.156108,0.910517
-0.205056,-0.090291
-9.478916,15.411309
-9.527864,14.410501
-9.576812,13.409693
-9.625760,12.408885
-9.674708,11.408077
-9.723656,10.407269
-9.772604,9.406461
-9.821552,8.405653
-9.870500,7.404845
-9.919448,6.404037
-9.968396,5.403229
-10.012450,4.502502
-10.061398,3.501694
-10.115240,2.400805
-10.164188,1.399997
