X Drift, Y Drift
-0.200000,13.800000
-0.200000,12.900000
-0.200000,11.900000
-0.200000,10.900000
-0.200000,9.900000
-0.200000,8.900000
-0.100000,7.900000
-0.200000,6.900000
-0.200000,5.900000
-0.100000,4.900000
-0.200000,3.900000
-0.200000,2.900000
-0.200000,1.800000
-0.200000,0.900000
-0.200000,-0.100000
-10.200000,15.000000
-10.100000,13.900000
-10.200000,13.000000
-10.200000,11.900000
-10.200000,11.000000
-10.300000,10.000000
-10.200000,8.900000
-10.300000,8.000000
-10.200000,7.000000
-10.300000,6.000000
-10.300000,5.000000
-10.300000,3.900000
-10.300000,3.000000
-10.400000,2.000000
-10.400000,1.000000
