x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max,Min Separation
18.575758,34.060608,0.078732,5.909001,0.393784,-0.919203,33.000000,18.000000,34.000000,2.992061,17.422512,36.752605,19.749386,31.321035,16.000000,21.000000,31.000000,37.000000,340282346638528859811704183484516925440.000000
66.500000,34.294117,0.116197,5.000000,1.000000,0.000000,34.000000,67.000000,34.000000,3.293945,64.000000,34.294117,69.000000,34.294117,64.000000,69.000000,31.000000,37.000000,340282346638528859811704183484516925440.000000
90.666664,34.060608,0.158960,6.239953,0.157346,0.987543,33.000000,90.000000,34.000000,2.781489,90.174583,30.972183,91.156418,37.134407,88.000000,93.000000,31.000000,37.000000,340282346638528859811704183484516925440.000000
114.617645,34.029411,0.128477,6.295154,0.406127,0.913816,34.000000,115.000000,34.000000,3.001459,113.391479,31.270445,115.948112,37.023060,112.000000,117.000000,31.000000,37.000000,340282346638528859811704183484516925440.000000
138.666672,33.799999,0.042309,5.423300,0.986537,0.163539,30.000000,139.000000,34.000000,2.816881,135.942245,33.348370,141.292542,34.235291,136.000000,141.000000,31.000000,36.000000,340282346638528859811704183484516925440.000000
162.575760,33.575756,0.068109,6.363961,0.707107,0.707107,33.000000,163.000000,34.000000,2.828610,160.500000,31.499998,165.000000,36.000000,160.000000,165.000000,31.000000,36.000000,340282346638528859811704183484516925440.000000
186.909088,33.696968,0.115688,6.268405,0.982305,-0.187287,33.000000,187.000000,34.000000,2.819351,183.862320,34.277866,190.019806,33.103878,184.000000,190.000000,31.000000,36.000000,340282346638528859811704183484516925440.000000
42.517242,34.103447,0.153573,6.216811,0.907746,-0.419521,29.000000,43.000000,34.000000,2.831787,39.720787,35.395847,45.364071,32.787766,40.000000,45.000000,32.000000,37.000000,340282346638528859811704183484516925440.000000
43.114285,54.114285,0.064145,5.656855,0.707107,-0.707107,35.000000,43.000000,54.000000,2.989987,41.114285,56.114285,45.114285,52.114285,40.000000,46.000000,51.000000,57.000000,340282346638528859811704183484516925440.000000
67.736839,54.157894,0.159913,7.033729,0.999236,0.039075,38.000000,68.000000,54.000000,3.165769,63.999542,54.011749,71.027901,54.286591,64.000000,71.000000,51.000000,57.000000,340282346638528859811704183484516925440.000000
92.069771,54.093021,0.330393,8.105214,0.998213,-0.059755,43.000000,93.000000,54.000000,3.091792,87.960434,54.339012,96.051163,53.854691,88.000000,96.000000,51.000000,57.000000,340282346638528859811704183484516925440.000000
186.500000,53.785713,0.018308,5.000000,1.000000,0.000000,28.000000,186.000000,54.000000,2.786133,184.000000,53.785713,189.000000,53.785713,184.000000,189.000000,51.000000,56.000000,340282346638528859811704183484516925440.000000
193.888885,53.518520,0.087038,5.229696,0.139180,-0.990267,27.000000,194.000000,53.000000,2.792966,193.529648,56.074444,194.257523,50.895645,191.000000,196.000000,51.000000,56.000000,340282346638528859811704183484516925440.000000
18.575758,54.424244,0.068109,6.363961,0.707107,-0.707107,33.000000,19.000000,54.000000,2.828488,16.500000,56.500000,21.000000,52.000000,16.000000,21.000000,52.000000,57.000000,340282346638528859811704183484516925440.000000
168.911392,73.670883,0.036839,9.842993,0.437428,0.899254,79.000000,168.000000,74.000000,4.844734,166.899673,69.535240,171.205276,78.386581,164.000000,173.000000,69.000000,78.000000,340282346638528859811704183484516925440.000000
118.827583,74.017242,0.034176,8.245476,0.229553,0.973296,58.000000,119.000000,74.000000,4.065426,117.886429,70.026787,119.779205,78.052078,115.000000,123.000000,70.000000,78.000000,340282346638528859811704183484516925440.000000
144.000000,74.000000,0.000000,8.000000,1.000000,0.000000,69.000000,144.000000,74.000000,4.000000,140.000000,74.000000,148.000000,74.000000,140.000000,148.000000,70.000000,78.000000,340282346638528859811704183484516925440.000000
18.571428,74.228569,0.117908,6.302457,0.235888,-0.971780,35.000000,19.000000,74.000000,2.788700,17.848690,77.206009,19.335365,71.081406,16.000000,21.000000,71.000000,77.000000,340282346638528859811704183484516925440.000000
43.799999,74.074997,0.044029,6.622699,0.811850,-0.583866,40.000000,44.000000,74.000000,3.319583,41.042046,76.058464,46.418682,72.191696,41.000000,47.000000,71.000000,77.000000,340282346638528859811704183484516925440.000000
68.809525,74.071426,0.050911,7.208591,0.532549,0.846399,42.000000,69.000000,74.000000,3.405282,66.911888,71.055443,70.750809,77.156784,66.000000,72.000000,71.000000,77.000000,340282346638528859811704183484516925440.000000
93.699997,74.139999,0.072320,7.512738,0.971288,-0.237908,50.000000,94.000000,74.000000,3.820791,90.010696,75.043663,97.307724,73.256317,90.000000,97.000000,71.000000,78.000000,340282346638528859811704183484516925440.000000
191.450974,93.941177,0.138399,7.444657,0.992174,-0.124859,51.000000,192.000000,94.000000,3.228521,187.798752,94.400787,195.185150,93.471252,188.000000,195.000000,91.000000,97.000000,340282346638528859811704183484516925440.000000
157.000000,94.500000,0.330945,8.000000,1.000000,0.000000,50.000000,157.000000,94.000000,2.500000,153.000000,94.500000,161.000000,94.500000,153.000000,161.000000,92.000000,97.000000,340282346638528859811704183484516925440.000000
