X Drift, Y Drift
0.500000,9.100000
0.500000,8.000000
0.400000,7.000000
0.300000,6.000000
0.300000,5.000000
0.200000,3.900000
0.200000,3.000000
0.100000,2.000000
0.000000,1.000000
0.000000,0.000000
-0.100000,-1.000000
-0.100000,-2.100000
-0.100000,-3.000000
-0.200000,-4.000000
-0.300000,-5.000000
-9.500000,10.500000
-9.500000,9.500000
-9.600000,8.500000
-9.600000,7.500000
-9.700000,6.500000
-9.800000,5.500000
-9.800000,4.500000
-9.900000,3.500000
-9.900000,2.500000
-10.000000,1.500000
-10.000000,0.500000
-10.000000,-0.500000
-10.100000,-1.500000
-10.200000,-2.500000
-10.200000,-3.500000
