x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max
18.633333,28.633333,0.107462,5.656855,0.707107,-0.707107,30.000000,19.000000,29.000000,2.639829,16.633333,30.633333,20.633333,26.633333,16.000000,21.000000,26.000000,31.000000
42.633335,28.633333,0.107462,5.656855,0.707107,-0.707107,30.000000,43.000000,29.000000,2.639890,40.633335,30.633333,44.633335,26.633335,40.000000,45.000000,26.000000,31.000000
66.633331,28.633333,0.107462,5.656855,0.707107,-0.707107,30.000000,67.000000,29.000000,2.639890,64.633331,30.633331,68.633331,26.633333,64.000000,69.000000,26.000000,31.000000
90.633331,28.633333,0.107462,5.656855,0.707107,-0.707107,30.000000,91.000000,29.000000,2.639890,88.633331,30.633331,92.633331,26.633333,88.000000,93.000000,26.000000,31.000000
114.633331,28.633333,0.107462,5.656855,0.707107,-0.707107,30.000000,115.000000,29.000000,2.639890,112.633331,30.633331,116.633331,26.633333,112.000000,117.000000,26.000000,31.000000
138.633331,28.633333,0.107462,5.656855,0.707107,-0.707107,30.000000,139.000000,29.000000,2.639646,136.633331,30.633331,140.633331,26.633333,136.000000,141.000000,26.000000,31.000000
162.633331,28.633333,0.107462,5.656855,0.707107,-0.707107,30.000000,163.000000,29.000000,2.639646,160.633331,30.633331,164.633331,26.633333,160.000000,165.000000,26.000000,31.000000
186.633331,28.633333,0.107462,5.656855,0.707107,-0.707107,30.000000,187.000000,29.000000,2.639646,184.633331,30.633331,188.633331,26.633333,184.000000,189.000000,26.000000,31.000000
18.575758,48.575756,0.068109,6.363961,0.707107,0.707107,33.000000,19.000000,49.000000,2.828488,16.500000,46.500000,21.000000,51.000000,16.000000,21.000000,46.000000,51.000000
43.228573,48.571430,0.117908,6.302457,0.971780,-0.235888,35.000000,43.000000,49.000000,2.788577,40.081406,49.335369,46.206009,47.848694,40.000000,46.000000,46.000000,51.000000
67.861115,48.611111,0.160854,6.615515,0.956154,0.292863,36.000000,68.000000,49.000000,2.830325,64.794250,47.671753,71.119705,49.609192,65.000000,71.000000,46.000000,51.000000
92.375000,48.724998,0.283070,7.306864,0.992916,0.118817,40.000000,92.000000,49.000000,2.779775,88.844139,48.302479,96.099243,49.170658,89.000000,96.000000,46.000000,51.000000
141.038467,48.865383,0.540769,10.005722,0.999998,-0.001914,52.000000,139.000000,49.000000,2.871089,135.997849,48.875031,146.003555,48.855881,136.000000,146.000000,46.000000,51.000000
165.607147,48.714287,0.579488,11.093210,0.999453,-0.033076,56.000000,163.000000,49.000000,2.832525,159.963623,48.901054,171.050766,48.534134,160.000000,171.000000,46.000000,51.000000
186.500000,48.785713,0.018308,5.000000,1.000000,0.000000,28.000000,187.000000,49.000000,2.786133,184.000000,48.785713,189.000000,48.785713,184.000000,189.000000,46.000000,51.000000
194.000000,48.500000,0.160953,4.000000,1.000000,0.000000,26.000000,194.000000,49.000000,2.500000,192.000000,48.500000,196.000000,48.500000,192.000000,196.000000,46.000000,51.000000
116.777779,48.888889,0.489290,9.032070,0.999861,0.016660,45.000000,115.000000,49.000000,2.156735,111.986519,48.809055,121.017334,48.959530,112.000000,121.000000,47.000000,51.000000
193.686279,68.686272,0.033140,10.606604,0.707106,0.707107,102.000000,194.000000,69.000000,4.950190,190.000000,64.999992,197.500000,72.500000,188.000000,199.000000,63.000000,74.000000
143.625000,68.625000,0.002721,8.485281,0.707107,-0.707107,72.000000,144.000000,69.000000,4.419917,140.625000,71.625000,146.625000,65.625000,139.000000,148.000000,64.000000,73.000000
168.629623,68.629631,0.016922,9.192390,0.707107,0.707107,81.000000,169.000000,69.000000,4.950190,165.500000,65.500000,172.000000,72.000008,164.000000,173.000000,64.000000,73.000000
93.645836,68.645836,0.005563,7.071071,0.707105,-0.707108,48.000000,94.000000,69.000000,3.741207,91.145836,71.145844,96.145828,66.145828,90.000000,97.000000,65.000000,72.000000
118.611115,68.611115,0.070449,7.778175,0.707107,0.707107,54.000000,119.000000,69.000000,3.536129,116.000000,66.000000,121.500000,71.500000,115.000000,122.000000,65.000000,72.000000
18.575758,68.575760,0.068109,6.363961,0.707107,0.707107,33.000000,19.000000,69.000000,2.828488,16.500000,66.500000,21.000000,71.000000,16.000000,21.000000,66.000000,71.000000
43.743591,68.743591,0.068204,7.071068,0.707107,-0.707107,39.000000,44.000000,69.000000,3.191159,41.243591,71.243591,46.243591,66.243591,41.000000,47.000000,66.000000,72.000000
68.853661,68.853661,0.006574,7.071067,0.707106,-0.707107,41.000000,69.000000,69.000000,3.328610,66.353661,71.353661,71.353661,66.353661,66.000000,72.000000,66.000000,72.000000
191.207550,88.811317,0.155514,8.205980,0.989338,-0.145638,53.000000,191.000000,89.000000,3.800796,187.062057,89.421562,195.180542,88.226463,187.000000,195.000000,85.000000,92.000000
122.721313,88.606560,0.483221,11.041821,0.999752,0.022275,61.000000,123.000000,89.000000,2.679697,116.989334,88.478844,128.028412,88.724808,117.000000,128.000000,86.000000,91.000000
156.581818,89.127274,0.281998,9.058374,0.999507,-0.031408,55.000000,157.000000,89.000000,3.175765,151.977127,89.271965,161.031036,88.987465,152.000000,161.000000,86.000000,92.000000
30.694031,88.977615,0.820861,27.009678,0.999987,0.005008,134.000000,23.000000,89.000000,2.081056,16.995447,88.909012,44.004787,89.044281,17.000000,44.000000,87.000000,91.000000
79.794518,89.027397,0.676186,15.010553,0.999933,-0.011553,73.000000,78.000000,89.000000,2.094242,72.001358,89.117439,87.010910,88.944016,72.000000,87.000000,87.000000,91.000000
