X Drift, Y Drift
0.145752,8.812720
0.100172,7.912973
-0.050444,6.918319
-0.006181,5.813563
-0.056825,4.813844
-0.207440,3.819190
-0.258084,2.819471
-0.208757,1.814687
-0.259401,0.814968
-0.410016,-0.179686
-0.460660,-1.179405
-0.411332,-2.184189
-0.461977,-3.183908
-0.512621,-4.183627
-0.563265,-5.183346
-9.800795,10.318879
-9.851439,9.319160
-10.002054,8.324506
-10.052698,7.324787
-10.003371,6.320003
-10.054015,5.320284
-10.104659,4.320565
-10.255274,3.325911
-10.205947,2.321127
-10.356562,1.326473
-10.407206,0.326754
-10.457850,-0.672965
-10.408523,-1.677749
-10.559138,-2.672403
-10.609782,-3.672122
