x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max
116.666664,1.250000,0.128682,3.500199,0.940849,-0.338826,12.000000,117.000000,3.000000,1.759422,114.952248,1.867408,118.245407,0.681450,115.000000,118.000000,0.000000,3.000000
207.578949,2.105263,0.225261,4.565973,0.221898,-0.975070,19.000000,208.000000,1.000000,1.806062,207.091248,4.248336,208.104431,-0.203807,206.000000,209.000000,0.000000,4.000000
288.500000,0.500000,0.552786,3.000000,1.000000,0.000000,8.000000,289.000000,0.000000,0.500000,287.000000,0.500000,290.000000,0.500000,287.000000,290.000000,0.000000,1.000000
329.500000,0.000000,1.000000,0.000000,0.000000,1.000000,4.000000,330.000000,0.000000,1.500000,329.500000,0.000000,329.500000,0.000000,328.000000,331.000000,0.000000,0.000000
472.000000,1.000000,0.000000,2.000000,1.000000,0.000000,9.000000,471.000000,0.000000,1.000000,471.000000,1.000000,473.000000,1.000000,471.000000,473.000000,0.000000,2.000000
349.200012,9.600000,0.345346,4.427189,0.948683,-0.316228,15.000000,349.000000,10.000000,1.581320,347.100006,10.300004,351.299988,8.900004,347.000000,351.000000,8.000000,11.000000
438.769226,9.615385,0.091352,3.601470,0.857493,-0.514496,13.000000,439.000000,10.000000,1.820572,437.298645,10.497736,440.386871,8.644794,437.000000,440.000000,8.000000,11.000000
468.500000,9.000000,0.387628,1.000000,1.000000,0.000000,6.000000,469.000000,10.000000,1.000000,468.000000,9.000000,469.000000,9.000000,468.000000,469.000000,8.000000,10.000000
20.500000,11.500000,0.000000,1.000000,1.000000,0.000000,4.000000,20.000000,12.000000,0.500000,20.000000,11.500000,21.000000,11.500000,20.000000,21.000000,11.000000,12.000000
55.500000,12.000000,0.618034,2.227033,0.525731,0.850651,4.000000,55.000000,12.000000,0.425354,54.914589,11.052787,56.085411,12.947213,55.000000,56.000000,11.000000,13.000000
27.588236,14.117647,0.220131,4.384007,0.261711,0.965146,17.000000,27.000000,15.000000,1.763825,27.013050,11.996461,28.160395,16.227669,26.000000,29.000000,12.000000,16.000000
210.285721,13.000000,0.074180,2.000000,1.000000,0.000000,7.000000,210.000000,12.000000,1.000000,209.000000,13.000000,211.000000,13.000000,209.000000,211.000000,12.000000,14.000000
244.250000,16.000000,0.387628,1.000000,1.000000,0.000000,4.000000,244.000000,16.000000,1.000000,244.000000,16.000000,245.000000,16.000000,244.000000,245.000000,15.000000,17.000000
423.750000,19.500000,0.347709,4.118187,0.516353,-0.856376,12.000000,423.000000,19.000000,1.416988,422.620117,21.373905,424.746552,17.847191,422.000000,425.000000,18.000000,21.000000
205.000000,22.142857,0.161119,4.996697,0.628678,0.777666,21.000000,204.000000,22.000000,2.125000,203.557114,20.358032,206.698425,24.243793,203.000000,207.000000,20.000000,24.000000
139.380951,26.333334,0.175175,5.218561,0.808087,-0.589063,21.000000,138.000000,26.000000,2.300775,137.032822,28.045027,141.249878,24.970964,137.000000,142.000000,24.000000,28.000000
318.000000,24.250000,0.387628,2.000000,1.000000,0.000000,4.000000,318.000000,25.000000,0.750000,317.000000,24.250000,319.000000,24.250000,317.000000,319.000000,24.000000,25.000000
414.952393,28.809525,0.161022,4.999590,0.807618,0.589706,21.000000,414.000000,28.000000,2.112306,412.817139,27.250414,416.854919,30.198706,413.000000,417.000000,27.000000,31.000000
498.333344,30.555555,0.382135,3.088656,0.105351,-0.994435,9.000000,499.000000,30.000000,1.279298,498.178314,32.018890,498.503723,28.947422,497.000000,499.000000,29.000000,32.000000
389.814819,36.296295,0.690016,9.219340,0.655829,-0.754909,27.000000,388.000000,38.000000,1.664069,386.770447,39.800587,392.816772,32.840820,387.000000,393.000000,33.000000,40.000000
276.235291,35.941177,0.264923,4.217370,0.124161,-0.992262,17.000000,277.000000,37.000000,1.757813,275.962616,38.120449,276.486237,33.935715,275.000000,278.000000,34.000000,38.000000
447.466675,36.133335,0.120606,4.123106,0.242536,0.970142,15.000000,448.000000,36.000000,1.761724,446.937256,34.015686,447.937256,38.015686,446.000000,449.000000,34.000000,38.000000
26.933332,36.599998,0.416198,4.999897,0.796129,0.605127,15.000000,27.000000,37.000000,1.679384,24.937130,35.082714,28.917694,38.108284,25.000000,29.000000,35.000000,38.000000
44.500000,39.000000,0.183503,3.000000,1.000000,0.000000,16.000000,44.000000,39.000000,2.000000,43.000000,39.000000,46.000000,39.000000,43.000000,46.000000,37.000000,41.000000
157.777771,38.666668,0.172327,3.106189,0.132734,0.991152,9.000000,158.000000,38.000000,1.299807,157.544800,36.927040,157.957092,40.005745,157.000000,159.000000,37.000000,40.000000
216.875000,38.187500,0.646261,6.324229,0.945427,0.325835,16.000000,216.000000,39.000000,1.163094,213.939423,37.175774,219.918518,39.236427,214.000000,220.000000,37.000000,40.000000
268.500000,38.285713,0.020957,3.000000,1.000000,0.000000,14.000000,270.000000,38.000000,1.713867,267.000000,38.285713,270.000000,38.285713,267.000000,270.000000,37.000000,40.000000
372.454559,39.818180,0.335705,3.576020,0.754386,0.656431,11.000000,373.000000,39.000000,1.190421,371.221619,38.745323,373.919312,41.092735,371.000000,374.000000,38.000000,41.000000
335.111115,41.333332,0.280592,3.160601,0.346946,-0.937885,9.000000,336.000000,40.000000,1.158200,334.555420,42.835537,335.651978,39.871254,334.000000,336.000000,40.000000,43.000000
344.000000,40.750000,0.387628,2.000000,1.000000,0.000000,4.000000,344.000000,40.000000,0.750000,343.000000,40.750000,345.000000,40.750000,343.000000,345.000000,40.000000,41.000000
393.666656,41.250000,0.128682,3.500199,0.940849,-0.338826,12.000000,393.000000,41.000000,1.759753,391.952240,41.867405,395.245422,40.681450,392.000000,395.000000,40.000000,43.000000
189.894730,45.315788,0.116440,5.216998,0.590011,0.807395,19.000000,189.000000,45.000000,2.475584,188.480087,43.379932,191.558167,47.592110,188.000000,192.000000,43.000000,48.000000
208.682922,49.390244,0.619019,10.615587,0.618230,0.785998,41.000000,207.000000,49.000000,2.653324,205.627869,45.506145,212.190735,53.849972,205.000000,213.000000,45.000000,54.000000
