x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max,Min Separation
27.666666,13.833333,0.284809,4.711055,0.297311,0.954781,18.000000,26.000000,14.000000,1.818116,26.998922,11.688944,28.399569,16.186970,26.000000,29.000000,12.000000,16.000000,6.082763
205.000000,22.500000,0.130736,5.372893,0.433189,0.901303,24.000000,204.000000,22.000000,2.452646,203.836258,20.078697,206.163742,24.921303,203.000000,207.000000,20.000000,25.000000,8.944272
317.950012,24.100000,0.080441,4.472136,0.894427,0.447213,20.000000,318.000000,24.000000,2.124487,315.950012,23.099997,319.950012,25.099995,316.000000,320.000000,22.000000,26.000000,17.262676
139.391312,26.347826,0.192302,5.328275,0.972509,-0.232864,23.000000,140.000000,26.000000,2.374525,136.755508,26.978960,141.937317,25.738194,137.000000,142.000000,24.000000,28.000000,17.804493
415.083344,28.916666,0.087129,5.656855,0.707107,0.707107,24.000000,415.000000,29.000000,2.710964,413.083344,26.916660,417.083344,30.916662,413.000000,417.000000,27.000000,31.000000,9.219544
447.722229,35.833332,0.190185,4.454975,0.523779,-0.851854,18.000000,448.000000,35.000000,1.903329,446.557373,37.727833,448.890778,33.932846,446.000000,450.000000,34.000000,38.000000,23.345236
26.500000,37.285713,0.020957,3.000000,1.000000,0.000000,14.000000,27.000000,37.000000,1.714355,25.000000,37.285713,28.000000,37.285713,25.000000,28.000000,36.000000,39.000000,14.000000
215.750000,38.250000,0.038625,4.242640,0.707107,0.707107,20.000000,216.000000,39.000000,2.474607,214.250000,36.750000,217.250000,39.750000,214.000000,218.000000,36.000000,40.000000,7.810250
44.142857,38.761906,0.022124,4.973459,0.857493,0.514496,21.000000,44.000000,38.000000,2.466306,41.789917,37.350140,46.054619,39.908966,42.000000,46.000000,37.000000,41.000000,14.000000
157.600006,38.599998,0.128220,4.242640,0.707107,-0.707107,15.000000,158.000000,38.000000,1.979978,156.100006,40.100002,159.100006,37.100002,156.000000,159.000000,37.000000,40.000000,17.804493
372.166656,39.111111,0.085762,4.462177,0.386562,0.922264,18.000000,373.000000,39.000000,2.121089,371.239685,36.899536,372.964600,41.014839,370.000000,374.000000,37.000000,41.000000,10.816654
335.571442,40.928570,0.206089,4.095049,0.353869,-0.935295,14.000000,336.000000,40.000000,1.714836,334.814301,42.929741,336.263397,39.099663,334.000000,337.000000,39.000000,43.000000,8.246211
189.333328,45.000000,0.209431,3.000000,1.000000,0.000000,18.000000,190.000000,45.000000,2.000000,188.000000,45.000000,191.000000,45.000000,188.000000,191.000000,43.000000,47.000000,12.727922
69.045456,49.545456,0.236288,5.262327,0.165740,-0.986170,22.000000,69.000000,49.000000,2.168460,68.615547,52.103451,69.487724,46.913906,67.000000,71.000000,47.000000,52.000000,13.000000
424.600006,52.400002,0.128220,4.242640,0.707107,0.707107,15.000000,425.000000,51.000000,1.978535,423.100006,50.899998,426.100006,53.899998,423.000000,426.000000,51.000000,54.000000,15.000000
466.111115,55.555557,0.127159,4.459279,0.857969,-0.513701,18.000000,466.000000,56.000000,2.041011,464.361206,56.603294,468.187134,54.312553,464.000000,468.000000,54.000000,58.000000,18.384777
372.500000,64.000000,0.387628,3.577709,0.894427,-0.447214,10.000000,373.000000,64.000000,1.119129,370.899994,64.800003,374.100006,63.200001,371.000000,374.000000,63.000000,65.000000,13.601471
483.173920,70.000000,0.008316,4.000000,1.000000,0.000000,23.000000,483.000000,70.000000,2.000000,481.000000,70.000000,485.000000,70.000000,481.000000,485.000000,68.000000,72.000000,18.384777
81.000000,72.173912,0.008316,4.000000,1.000000,0.000000,23.000000,80.000000,72.000000,2.173828,79.000000,72.173912,83.000000,72.173912,79.000000,83.000000,70.000000,74.000000,7.071068
297.736847,75.368423,0.105080,4.416230,0.953738,0.300639,19.000000,298.000000,75.000000,2.078132,295.764618,74.746735,299.976532,76.074425,296.000000,300.000000,73.000000,77.000000,9.486833
176.230774,80.000000,0.382690,4.389258,0.610321,0.792154,13.000000,177.000000,80.000000,1.585940,174.805389,78.149940,177.484238,81.626915,175.000000,178.000000,78.000000,82.000000,11.180340
417.959991,84.400002,0.133094,5.287458,0.188589,-0.982056,25.000000,418.000000,84.000000,2.304684,417.444305,87.085327,418.441467,81.892746,416.000000,420.000000,82.000000,87.000000,5.656854
234.250000,86.437500,0.201281,4.470753,0.883027,-0.469323,16.000000,235.000000,87.000000,1.855470,232.262482,87.493851,236.210266,85.395630,232.000000,236.000000,85.000000,88.000000,20.518284
124.782608,90.304344,0.248567,5.379341,0.327821,-0.944740,23.000000,124.000000,91.000000,2.112305,123.863647,92.952682,125.627106,87.870605,123.000000,127.000000,88.000000,93.000000,8.000000
112.863640,91.318184,0.058714,4.866245,0.229753,-0.973249,22.000000,113.000000,91.000000,2.236324,112.271164,93.827942,113.389198,89.091881,111.000000,115.000000,89.000000,94.000000,8.000000
170.833328,93.944443,0.154103,4.464336,0.499234,0.866467,18.000000,171.000000,93.000000,2.116202,169.784531,92.124153,172.013275,95.992348,169.000000,173.000000,92.000000,96.000000,11.180340
199.318176,105.045456,0.143988,4.998982,0.811943,0.583737,22.000000,199.000000,106.000000,2.355479,197.294403,103.590492,201.353302,106.508583,197.000000,202.000000,103.000000,107.000000,13.892444
27.882353,106.294121,0.169894,4.274374,0.986394,-0.164399,17.000000,28.000000,107.000000,1.866454,25.936407,106.618446,30.152624,105.915741,26.000000,30.000000,105.000000,108.000000,6.082763
17.608696,108.913040,0.019831,5.086979,0.991734,0.128307,23.000000,18.000000,109.000000,2.276126,14.926765,108.566063,19.971699,109.218758,15.000000,20.000000,107.000000,111.000000,6.082763
291.500000,108.833336,0.109771,5.522584,0.843471,-0.537175,24.000000,291.000000,109.000000,2.634752,289.451141,110.138184,294.109283,107.171585,289.000000,294.000000,107.000000,111.000000,19.104973
358.000000,108.454544,0.097905,3.359226,0.573697,-0.819068,11.000000,358.000000,108.000000,1.652339,356.944672,109.961243,358.871857,107.209808,357.000000,360.000000,107.000000,110.000000,10.049875
