x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max
116.076920,1.692308,0.135754,3.592236,0.876606,-0.481209,13.000000,116.000000,1.000000,1.590520,114.351143,2.639666,117.500114,0.911050,114.000000,118.000000,0.000000,3.000000
207.285721,1.642857,0.205516,4.184636,0.580913,0.813966,14.000000,207.000000,1.000000,1.834926,206.075027,-0.053546,208.505936,3.352604,206.000000,209.000000,0.000000,3.000000
288.714294,0.428571,0.541444,3.113414,0.989400,0.145213,7.000000,288.000000,0.000000,0.669107,286.974579,0.173235,290.054993,0.625343,287.000000,290.000000,0.000000,1.000000
472.222229,0.444444,0.631027,4.068851,0.996593,0.082481,9.000000,472.000000,0.000000,0.654472,469.978577,0.258755,474.033569,0.594356,470.000000,474.000000,0.000000,1.000000
390.375000,5.187500,0.381978,4.981657,0.529336,0.848412,16.000000,391.000000,5.000000,1.596687,389.007324,2.995424,391.644318,7.221923,389.000000,392.000000,3.000000,7.000000
444.250000,3.750000,0.591752,2.213594,0.948683,-0.316228,4.000000,445.000000,4.000000,0.474371,443.049988,4.150000,445.149994,3.450000,443.000000,445.000000,3.000000,4.000000
498.500000,7.500000,0.552786,1.000000,1.000000,0.000000,8.000000,498.000000,7.000000,1.500000,498.000000,7.500000,499.000000,7.500000,498.000000,499.000000,6.000000,9.000000
438.666656,9.500000,0.507634,1.000000,1.000000,0.000000,6.000000,438.000000,9.000000,1.500000,438.000000,9.500000,439.000000,9.500000,438.000000,439.000000,8.000000,11.000000
468.700012,9.200000,0.389144,3.474959,0.949851,-0.312703,10.000000,469.000000,9.000000,1.166494,466.928619,9.783167,470.229309,8.696535,467.000000,470.000000,8.000000,10.000000
348.500000,9.800000,0.269703,3.000000,1.000000,0.000000,10.000000,347.000000,10.000000,1.199951,347.000000,9.800000,350.000000,9.800000,347.000000,350.000000,9.000000,11.000000
18.888889,11.444445,0.490825,3.577709,0.447214,-0.894427,9.000000,19.000000,10.000000,0.993820,18.088890,13.044445,19.688889,9.844444,18.000000,20.000000,10.000000,13.000000
211.000000,12.000000,0.000000,2.000000,1.000000,0.000000,5.000000,211.000000,12.000000,1.000000,210.000000,12.000000,212.000000,12.000000,210.000000,212.000000,11.000000,13.000000
27.666666,13.833333,0.284809,4.711055,0.297311,0.954781,18.000000,26.000000,14.000000,1.818116,26.998922,11.688944,28.399569,16.186970,26.000000,29.000000,12.000000,16.000000
423.888885,19.333334,0.280592,3.160601,0.346946,0.937885,9.000000,424.000000,20.000000,1.158200,423.348022,17.871256,424.444580,20.835537,423.000000,425.000000,18.000000,21.000000
205.000000,22.500000,0.130736,5.372893,0.433189,0.901303,24.000000,204.000000,22.000000,2.452646,203.836258,20.078697,206.163742,24.921303,203.000000,207.000000,20.000000,25.000000
317.950012,24.100000,0.080441,4.472136,0.894427,0.447213,20.000000,318.000000,24.000000,2.124487,315.950012,23.099997,319.950012,25.099995,316.000000,320.000000,22.000000,26.000000
139.391312,26.347826,0.192302,5.328275,0.972509,-0.232864,23.000000,140.000000,26.000000,2.374525,136.755508,26.978960,141.937317,25.738194,137.000000,142.000000,24.000000,28.000000
415.083344,28.916666,0.087129,5.656855,0.707107,0.707107,24.000000,415.000000,29.000000,2.710964,413.083344,26.916660,417.083344,30.916662,413.000000,417.000000,27.000000,31.000000
245.666672,28.666666,0.422650,2.828427,0.707107,-0.707107,6.000000,246.000000,29.000000,0.942870,244.666672,29.666670,246.666672,27.666668,245.000000,247.000000,28.000000,30.000000
498.625000,30.000000,0.604715,1.000000,1.000000,0.000000,8.000000,499.000000,31.000000,2.000000,498.000000,30.000000,499.000000,30.000000,498.000000,499.000000,28.000000,32.000000
389.727264,36.136364,0.597047,7.150576,0.753348,-0.657622,22.000000,387.000000,37.000000,1.678698,387.256165,38.293461,392.643036,33.591084,387.000000,393.000000,34.000000,39.000000
447.722229,35.833332,0.190185,4.454975,0.523779,-0.851854,18.000000,448.000000,35.000000,1.903329,446.557373,37.727833,448.890778,33.932846,446.000000,450.000000,34.000000,38.000000
276.666656,36.083332,0.193111,3.604966,0.821926,0.569595,12.000000,276.000000,37.000000,1.650384,275.033539,34.951588,277.996552,37.004959,275.000000,278.000000,35.000000,38.000000
26.500000,37.285713,0.020957,3.000000,1.000000,0.000000,14.000000,27.000000,37.000000,1.714355,25.000000,37.285713,28.000000,37.285713,25.000000,28.000000,36.000000,39.000000
215.750000,38.250000,0.038625,4.242640,0.707107,0.707107,20.000000,216.000000,39.000000,2.474607,214.250000,36.750000,217.250000,39.750000,214.000000,218.000000,36.000000,40.000000
269.500000,37.714287,0.020957,3.000000,1.000000,0.000000,14.000000,269.000000,37.000000,1.714844,268.000000,37.714287,271.000000,37.714287,268.000000,271.000000,36.000000,39.000000
44.142857,38.761906,0.022124,4.973459,0.857493,0.514496,21.000000,44.000000,38.000000,2.466306,41.789917,37.350140,46.054619,39.908966,42.000000,46.000000,37.000000,41.000000
