X Drift, Y Drift
-0.200000,13.900000
-0.200000,12.900000
-0.100000,11.900000
-0.200000,10.900000
-0.200000,9.900000
-0.200000,8.900000
-0.200000,7.900000
-0.200000,6.900000
-0.200000,5.900000
-0.200000,4.900000
-0.200000,3.900000
-0.200000,2.900000
-0.200000,1.900000
-0.200000,0.900000
-0.200000,-0.100000
-10.200000,14.900000
-10.200000,13.900000
-10.200000,12.900000
-10.200000,11.900000
-10.200000,10.900000
-10.200000,9.900000
-10.200000,8.900000
-10.200000,7.900000
-10.200000,6.900000
-10.200000,5.900000
-10.200000,4.900000
-10.200000,4.000000
-10.200000,3.000000
-10.200000,1.900000
-10.200000,0.900000
