x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max
18.871796,33.871796,0.090316,6.363961,0.707107,0.707107,39.000000,19.000000,34.000000,2.828427,16.500000,31.500000,21.000000,36.000000,16.000000,22.000000,31.000000,37.000000
42.871796,33.871796,0.090316,6.363961,0.707107,0.707107,39.000000,43.000000,34.000000,2.828488,40.500000,31.500000,45.000000,36.000000,40.000000,46.000000,31.000000,37.000000
66.871796,33.871796,0.090316,6.363961,0.707107,0.707107,39.000000,67.000000,34.000000,2.828610,64.500000,31.500000,69.000000,36.000000,64.000000,70.000000,31.000000,37.000000
90.871796,33.871796,0.090316,6.363961,0.707107,0.707107,39.000000,91.000000,34.000000,2.828366,88.500000,31.500000,93.000000,36.000000,88.000000,94.000000,31.000000,37.000000
114.871796,33.871796,0.090316,6.363961,0.707107,0.707107,39.000000,115.000000,34.000000,2.828610,112.500000,31.500000,117.000000,36.000000,112.000000,118.000000,31.000000,37.000000
138.871796,33.871796,0.090316,6.363961,0.707107,0.707107,39.000000,139.000000,34.000000,2.828610,136.500000,31.500000,141.000000,36.000000,136.000000,142.000000,31.000000,37.000000
162.871796,33.871796,0.090316,6.363961,0.707107,0.707107,39.000000,163.000000,34.000000,2.828610,160.500000,31.500000,165.000000,36.000000,160.000000,166.000000,31.000000,37.000000
186.871796,33.871796,0.090316,6.363961,0.707107,0.707107,39.000000,187.000000,34.000000,2.828610,184.500000,31.500000,189.000000,36.000000,184.000000,190.000000,31.000000,37.000000
18.871796,53.871796,0.090316,6.363961,0.707107,0.707107,39.000000,19.000000,54.000000,2.828488,16.500000,51.500000,21.000000,56.000000,16.000000,22.000000,51.000000,57.000000
43.315788,53.815788,0.021851,6.694286,0.863779,0.503871,38.000000,43.000000,54.000000,3.280765,40.486774,52.165527,46.269157,55.538589,40.000000,46.000000,51.000000,57.000000
67.849998,53.799999,0.077260,6.704930,0.977802,-0.209529,40.000000,68.000000,54.000000,3.160389,64.674393,54.480488,71.230484,53.075607,65.000000,71.000000,51.000000,57.000000
92.222221,53.666668,0.330384,8.090629,0.998729,-0.050397,45.000000,92.000000,54.000000,2.724619,87.993950,53.880032,96.074295,53.472286,88.000000,96.000000,51.000000,56.000000
116.666664,53.666668,0.399419,9.035624,0.999927,0.012094,54.000000,115.000000,54.000000,2.694833,111.992622,53.610134,121.027580,53.719414,112.000000,121.000000,51.000000,56.000000
141.316666,53.750000,0.529512,11.011057,0.999984,0.005615,60.000000,139.000000,54.000000,2.770506,135.990341,53.720093,147.001221,53.781921,136.000000,147.000000,51.000000,56.000000
165.876923,53.661537,0.584314,12.079029,0.999611,0.027900,65.000000,163.000000,54.000000,2.775411,159.958237,53.496338,172.032562,53.833347,160.000000,172.000000,51.000000,56.000000
186.500000,53.705883,0.116197,5.000000,1.000000,0.000000,34.000000,187.000000,54.000000,3.293945,184.000000,53.705883,189.000000,53.705883,184.000000,189.000000,51.000000,57.000000
194.181824,53.818180,0.012475,5.656856,0.707108,0.707106,33.000000,194.000000,54.000000,3.084958,192.181824,51.818180,196.181824,55.818176,191.000000,197.000000,51.000000,57.000000
193.732147,73.732140,0.052756,11.313709,0.707107,-0.707106,112.000000,194.000000,74.000000,5.328119,189.732147,77.732140,197.732147,69.732147,188.000000,199.000000,68.000000,79.000000
143.714279,73.714287,0.036874,9.192389,0.707106,0.707107,77.000000,144.000000,74.000000,4.243159,140.500000,70.500000,147.000000,77.000008,139.000000,148.000000,69.000000,78.000000
