x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max
18.702703,34.135136,0.121417,6.702760,0.410823,-0.911715,37.000000,19.000000,34.000000,2.950618,17.342283,37.154236,20.095932,31.043226,16.000000,22.000000,31.000000,37.000000
42.702702,34.135136,0.121417,6.702760,0.410823,-0.911715,37.000000,43.000000,34.000000,2.950679,41.342281,37.154236,44.095928,31.043226,40.000000,46.000000,31.000000,37.000000
66.631577,34.078949,0.078342,6.590000,0.272166,-0.962250,38.000000,67.000000,34.000000,3.219975,65.745720,37.210922,67.539291,30.869692,64.000000,70.000000,31.000000,37.000000
90.631577,34.078949,0.078342,6.590000,0.272166,-0.962250,38.000000,91.000000,34.000000,3.219975,89.745720,37.210922,91.539291,30.869692,88.000000,94.000000,31.000000,37.000000
114.589745,34.000000,0.089473,6.000000,1.000000,0.000000,39.000000,115.000000,34.000000,3.000000,112.000000,34.000000,118.000000,34.000000,112.000000,118.000000,31.000000,37.000000
138.631577,33.921051,0.078342,6.590000,0.272166,0.962250,38.000000,139.000000,34.000000,3.220212,137.745712,30.789078,139.539291,37.130306,136.000000,142.000000,31.000000,37.000000
162.540543,33.918919,0.125593,6.404832,0.161052,0.986946,37.000000,163.000000,34.000000,2.842771,162.036621,30.830841,163.068130,37.152065,160.000000,165.000000,31.000000,37.000000
186.540543,33.918919,0.125593,6.404832,0.161052,0.986946,37.000000,187.000000,34.000000,2.842283,186.036621,30.830841,187.068130,37.152065,184.000000,189.000000,31.000000,37.000000
18.871796,54.128204,0.090316,6.363961,0.707107,-0.707107,39.000000,19.000000,54.000000,2.828427,16.500000,56.500000,21.000000,52.000000,16.000000,22.000000,51.000000,57.000000
43.200001,54.075001,0.044029,6.622699,0.811850,0.583866,40.000000,43.000000,54.000000,3.319332,40.581314,52.191696,45.957954,56.058464,40.000000,46.000000,51.000000,57.000000
67.785713,54.119049,0.084414,7.080059,0.999062,0.043314,42.000000,68.000000,54.000000,3.168701,64.001953,53.955006,71.075363,54.261669,64.000000,71.000000,51.000000,57.000000
92.163269,54.000000,0.291189,8.000000,1.000000,0.000000,49.000000,92.000000,54.000000,3.000000,88.000000,54.000000,96.000000,54.000000,88.000000,96.000000,51.000000,57.000000
141.258621,53.810345,0.529400,11.003654,0.999998,0.001836,58.000000,139.000000,54.000000,2.817378,135.996689,53.800686,147.000336,53.820885,136.000000,147.000000,51.000000,56.000000
165.590912,53.787880,0.545765,12.006609,0.999994,0.003338,66.000000,163.000000,54.000000,3.223615,159.994095,53.769199,172.000641,53.809273,160.000000,172.000000,51.000000,57.000000
186.428574,53.771427,0.117908,6.302457,0.235888,-0.971780,35.000000,187.000000,54.000000,2.788091,185.664642,56.918594,187.151306,50.793991,184.000000,189.000000,51.000000,57.000000
193.939392,53.878788,0.105215,6.324495,0.312079,0.950056,33.000000,194.000000,54.000000,2.869152,192.994354,51.001854,194.968109,57.010475,191.000000,197.000000,51.000000,57.000000
