X Drift, Y Drift
0.436936,13.753233
0.395450,12.856884
0.349354,11.860941
0.303258,10.864998
0.257162,9.869055
0.211066,8.873112
0.264564,7.872559
0.118874,6.881226
0.072778,5.885283
0.126276,4.884730
-0.019414,3.893397
-0.065510,2.897454
-0.116216,1.801917
-0.157702,0.905568
-0.203798,-0.090375
-9.467179,15.409324
-9.418290,14.309177
-9.559371,13.417438
-9.610076,12.321901
-9.651563,11.425552
-9.797253,10.434219
-9.748364,9.334072
-9.889445,8.442333
-9.835947,7.441780
-9.981637,6.450447
-10.027733,5.454504
-10.078439,4.358967
-10.119925,3.462618
-10.265615,2.471284
-10.311711,1.475341
