X Drift, Y Drift
-0.300000,8.800000
-0.300000,7.900000
-0.400000,6.900000
-0.300000,5.800000
-0.300000,4.800000
-0.400000,3.800000
-0.400000,2.800000
-0.300000,1.800000
-0.300000,0.800000
-0.400000,-0.200000
-0.400000,-1.200000
-0.300000,-2.200000
-0.300000,-3.200000
-0.300000,-4.200000
-0.300000,-5.200000
-10.300000,9.800000
-10.300000,8.800000
-10.400000,7.800000
-10.400000,6.800000
-10.300000,5.800000
-10.300000,4.800000
-10.300000,3.800000
-10.400000,2.800000
-10.300000,1.800000
-10.400000,0.800000
-10.400000,-0.200000
-10.400000,-1.200000
-10.300000,-2.200000
-10.400000,-3.200000
-10.400000,-4.200000
