x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max
18.500000,28.500000,0.000000,5.000000,1.000000,0.000000,32.000000,19.000000,29.000000,2.500000,16.000000,28.500000,21.000000,28.500000,16.000000,21.000000,26.000000,31.000000
42.500000,28.500000,0.000000,5.000000,1.000000,0.000000,32.000000,43.000000,29.000000,2.500000,40.000000,28.500000,45.000000,28.500000,40.000000,45.000000,26.000000,31.000000
66.500000,28.500000,0.000000,5.000000,1.000000,0.000000,32.000000,67.000000,29.000000,2.500000,64.000000,28.500000,69.000000,28.500000,64.000000,69.000000,26.000000,31.000000
90.500000,28.500000,0.000000,5.000000,1.000000,0.000000,32.000000,91.000000,29.000000,2.500000,88.000000,28.500000,93.000000,28.500000,88.000000,93.000000,26.000000,31.000000
114.500000,28.500000,0.000000,5.000000,1.000000,0.000000,32.000000,115.000000,29.000000,2.500000,112.000000,28.500000,117.000000,28.500000,112.000000,117.000000,26.000000,31.000000
138.500000,28.500000,0.000000,5.000000,1.000000,0.000000,32.000000,139.000000,29.000000,2.500000,136.000000,28.500000,141.000000,28.500000,136.000000,141.000000,26.000000,31.000000
162.500000,28.500000,0.000000,5.000000,1.000000,0.000000,32.000000,163.000000,29.000000,2.500000,160.000000,28.500000,165.000000,28.500000,160.000000,165.000000,26.000000,31.000000
186.500000,28.500000,0.000000,5.000000,1.000000,0.000000,32.000000,187.000000,29.000000,2.500000,184.000000,28.500000,189.000000,28.500000,184.000000,189.000000,26.000000,31.000000
18.575758,48.575756,0.068109,6.363961,0.707107,0.707107,33.000000,19.000000,49.000000,2.828488,16.500000,46.500000,21.000000,51.000000,16.000000,21.000000,46.000000,51.000000
43.081081,48.540539,0.125593,6.404833,0.986946,-0.161053,37.000000,43.000000,49.000000,2.842529,39.847935,49.068134,46.169159,48.036617,40.000000,46.000000,46.000000,51.000000
67.684212,48.684212,0.181062,7.039857,0.998853,0.047889,38.000000,68.000000,49.000000,2.744133,64.023552,48.508705,71.055336,48.845837,64.000000,71.000000,46.000000,51.000000
92.159088,48.590908,0.310593,8.173070,0.993769,0.111459,44.000000,92.000000,49.000000,2.779792,87.986214,48.122890,96.108360,49.033848,88.000000,96.000000,46.000000,51.000000
116.745094,48.549019,0.385051,9.071497,0.999231,0.039209,51.000000,115.000000,49.000000,2.635746,111.985786,48.362270,121.050308,48.717949,112.000000,121.000000,46.000000,51.000000
141.070175,48.631580,0.500937,10.074268,0.999665,-0.025872,57.000000,139.000000,49.000000,2.710452,135.968002,48.763626,146.038895,48.502987,136.000000,146.000000,46.000000,51.000000
165.475403,48.540985,0.560087,11.018600,0.999980,-0.006272,61.000000,169.000000,49.000000,2.569324,159.991058,48.575382,171.009445,48.506275,160.000000,171.000000,46.000000,51.000000
186.500000,48.500000,0.000000,5.000000,1.000000,0.000000,32.000000,187.000000,49.000000,2.500000,184.000000,48.500000,189.000000,48.500000,184.000000,189.000000,46.000000,51.000000
194.000000,48.500000,0.160953,4.000000,1.000000,0.000000,26.000000,194.000000,49.000000,2.500000,192.000000,48.500000,196.000000,48.500000,192.000000,196.000000,46.000000,51.000000
193.771423,68.552383,0.022770,11.400482,0.248675,-0.968587,105.000000,194.000000,69.000000,5.727528,192.349747,74.089798,195.184769,63.047436,188.000000,199.000000,63.000000,74.000000
143.643829,68.561646,0.028193,9.486656,0.322008,-0.946737,73.000000,144.000000,69.000000,4.587883,142.120316,73.040924,145.175095,64.059555,139.000000,148.000000,64.000000,73.000000
168.682922,68.597565,0.012110,9.602875,0.981191,-0.193039,82.000000,169.000000,69.000000,4.835962,163.908875,69.536804,173.331131,67.683083,164.000000,173.000000,64.000000,73.000000
68.652176,68.695656,0.062309,7.163011,0.098539,0.995133,46.000000,69.000000,69.000000,3.664553,68.283447,64.971931,68.989288,72.100082,65.000000,72.000000,65.000000,72.000000
93.599998,68.599998,0.054095,7.071069,0.707107,-0.707107,50.000000,94.000000,69.000000,3.676754,91.099998,71.099998,96.099998,66.099998,90.000000,97.000000,65.000000,72.000000
118.672729,68.563637,0.034682,7.995094,0.797103,0.603843,55.000000,119.000000,69.000000,4.052731,115.586555,66.225716,121.959473,71.053497,115.000000,122.000000,65.000000,72.000000
18.588236,68.676468,0.097001,6.260990,0.447214,0.894427,34.000000,19.000000,69.000000,2.906867,17.200001,65.900002,20.000002,71.500000,16.000000,21.000000,66.000000,72.000000
43.775002,68.824997,0.048651,6.695644,0.391671,-0.920105,40.000000,44.000000,69.000000,3.267824,42.511909,71.792229,45.134396,65.631531,41.000000,47.000000,66.000000,72.000000
191.142853,88.625000,0.095053,8.038576,0.999798,-0.020096,56.000000,191.000000,89.000000,3.648424,186.994141,88.708389,195.031097,88.546844,187.000000,195.000000,85.000000,92.000000
30.591240,88.941605,0.819002,27.006149,0.999995,0.003141,137.000000,36.000000,89.000000,2.974368,16.997177,88.898903,44.003193,88.983734,17.000000,44.000000,86.000000,91.000000
122.671875,88.578125,0.485880,11.003666,0.999998,-0.001842,64.000000,123.000000,89.000000,2.584957,116.999245,88.588577,128.002884,88.568306,117.000000,128.000000,86.000000,91.000000
156.660721,89.160713,0.294504,9.033150,0.999851,0.017244,56.000000,157.000000,89.000000,3.183606,151.998611,89.080307,161.030426,89.236076,152.000000,161.000000,86.000000,92.000000
79.599998,89.013336,0.682507,15.011656,0.999982,-0.005960,75.000000,78.000000,89.000000,2.052729,71.994385,89.058670,87.005775,88.969193,72.000000,87.000000,87.000000,91.000000
