X Drift, Y Drift
-0.758624,8.754727
-0.711616,7.857755
-0.759048,6.855896
-0.601931,5.764819
-0.549700,4.768184
-0.597132,3.766324
-0.544901,2.769688
-0.393007,1.778275
-0.340776,0.781640
-0.388208,-0.220220
-0.335977,-1.216856
-0.184083,-2.208268
-0.131852,-3.204905
-0.079621,-4.201541
-0.027390,-5.198176
-10.777215,9.229054
-10.724984,8.232418
-10.772416,7.230558
-10.720185,6.233922
-10.568291,5.242509
-10.516060,4.245874
-10.463829,3.249237
-10.511261,2.247378
-10.359367,1.255965
-10.406799,0.254106
-10.354568,-0.742530
-10.302337,-1.739166
-10.150443,-2.730579
-10.197875,-3.732438
-10.145644,-4.729074
